Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
Kiwi Sungold,0.9,11.1,0.3
Dattes séchées dénoyautées,2.5,67,0.5
Pommes Rouges,0.75,11.6,0.625
blueberries,0.9,9.1,0.2
Berry mix with sour cherries,0.9,7.1,0.2
Serek homogenizowany truskawkowy,6.3,12,6.3
Ananas en tranches au jus,0.4,14.9,0.1
Borówka amerykańska odmiany Brightwell,1,15,0.3
Pomme,0.5,9.6,0.5
Framboises entières,1.6,6.1,0.2
Dates,2.5,67,0.5
Truskawki,0.7,5.4,0.4
Świeże daktyle medjool BIO,2,71,0.3
Fresh dates,1.97,71.43,0.2
Daktyle suszone,2.5,67,0.4
Pomegranate Seeds in Pomegranate Juice,0.8,15.9,0.3
Jagody leśne,0.7,10.7,0.9
Cytryna,2.6,11,4.1
Kaki,2.2,63,1.9
Ananas,0.9,14,0.2
Maliny mrożone,1.3,5.3,0.5
Świeże daktyle,1.97,71.93,0.2
Dried plums,1.2,26.9,0.5
Ananas plastry w soku,0.5,13,0.5
Ananas plastry,0.5,15,0.5
Daktyle suszone,2,65,0.47
Ekologiczne wiórki kokosowe,6.9,7.4,65
Wiórki kokosowe,6.9,7.4,65
Truskawki Liofilizowane,8.2,30.1,1.9
Raspberry fruit strips,1.4,78.8,0.87
Ananas Kawałki,0.5,15,0.5
Mandarynki. odmiany: Ortanique.,0.7,10,0.2
Jagody leśne,0.4,12.1,0.4
"Mandarinky, celé měsíčky, loupané, kompot",0.5,15,0.5
Ananasy w plastrach,1.25,16.4,0.1
Czarna Porzeczka,1.3,7,0.5
Borówka,0.8,11.8,0.2
Kiwi gold,1.02,15.8,0.28
Sun-dried Tomatoes,7,20,0.7
Jalapeños,0.6,1.6,0.1
Grean peas,5,7.4,0.7
Rodekool Chou rouge,1.4,11,0.2
Pelati Geschälte Tomaten,1.1,4.2,0.2
Groszek tradycyjny,5.5,7.4,0.7
"Pulpe de tomates, basilic & origan",1.6,5.7,0.3
Dattelcherrytomaten,0.9,1.9,0.5
Croustis de légumes Brocolis,4.73,14,9.1
Cacahuètes Grillées et Salées,25,18,50
Włoszczyzna,10.3,74.2,0.9
Buraczki zasmażane z cebulką,1,13,2
Pomidore krojone bez skórki w sosie pomidorowym.,0.7,2.9,0.2
Groszek konserwowy,4.2,7.4,0.5
Nasza Spiżarnia Korniszony z chilli,1.3,1.5,0.5
Groszek konserwowy,5.5,8.7,0.8
Groszek tradycyjny,4.6,12.3,0.8
Vegetable samosas,8.9,26.1,0.6
Haricots Verts Très Fins,1.9,3.8,0.5
Pomidory całe,1.1,3.1,0.5
Rukola umyta i gotowa do spożycia,2.6,3.9,0.3
Salad mix with iceberg lettuce,1,2.2,0.5
Ogórki ćwiartki,0.5,9.5,0.5
Warzywa na patelnię po włosku,1.8,4.4,0.5
Warzywa na patelnię letnie,2,4.3,5.4
polpa di pomodoro con basilico,1.1,5.4,0.2
Szpinak liście,2.8,0.6,0.5
Jackfruit kawałki,0.8,0.5,0.6
CHOUX-FLEURS En fleurette,2.9,2.1,0.9
Bio rukola,2.9,0.5,0.5
"Fasolka szparagowa żółta i zielona, cała",1.9,3.1,0.5
buraczki Już Gotowe talarki,1.8,9.5,0.1
Carottes râpées,1,11,4
Rzodkiew kiszona,0.7,1.8,0.1
Kimchi Hot,1.8,8,0.4
Groszek konserwowy green peas,5.4,8.8,0.8
Warzywa na patelnię z ziemniakami,1.9,9.4,1.3
Papryka Jalapeño,0.5,2.4,0.5
Kalafior różyczki,1.7,2.7,0.2
Brocolis bouquet,3,2.4,0.4
Spinach Leaves,3.4,2,0.6
Papryka grillowana w zalewie z czosnkiem,1.2,5.2,0.4
Warzywa na patelnię ze szpinakiem,2,7.6,1.1
Stir-fry vegetables with oriental seasoning,2.1,4.4,0.5
Pulpe fine de tomates,1.2,3.9,0.2
Pomodori pelati,1,4,0.8
Carciofi,1.2,2.7,0.5
Pomidory krojone w soku pomidorowym - klasyczne,1.4,4.4,0.2
Groszek konserwowy,5.6,8.6,0.5
Pomidory Krojone w soku pomidorowym z oliwą z oliwek i czosnkiem,1.3,5.9,2.1
Szparagi białe,0.78,1.46,0.1
Groch gotowany,8.34,21.1,0.39
Zupa kalafiorowa z koperkiem,1.9,5.4,0.2
Mix sałat Party,1.3,1.7,0.5
Szpinak baby,2.6,0.5,0.5
Mieszanka wiosenna,2.8,8.9,0.5
Zupa kalafiorowa,1.9,5.6,0.5
Mieszanka Warzyw Z Chilli,1.5,6.8,0.5
Pomidory Krojone,1,3.8,0.1
Buraczki Kons. ca?e Rolnik 370ML,0.9,10,0.5
Zupa jarzynowa,1.9,4.3,0.3
Zupa jarzynowa,3.2,3.7,0.3
Mieszanka chińska,1.2,4.9,0.2
Marchewka gotowana,0.8,6.9,0.43
Kalafior kiszony z kurkumą,0.4,2.9,0.1
Bio superfood buraki,1.8,9.8,0.1
Pomidory krojone bez skórki,1.2,3,0.5
Surówka z czerwonej kapusty z jabłkiem,1.2,10,4.3
Pomidory Krojone w Soku Pomidorowym,1.4,4.1,0.5
Buraczki plastry,1.6,7.93,0.09
Mix mražené zeleniny,2.5,9.6,1.5
Groszek konserwowy,4.6,12,0.8
Junge Erbsen,5.5,9.1,0.8
Szpinak rozdrobniony porcjowany,2.87,0.933,0.533
Groszek zielony,6.4,7.8,0.933
Czerwona papryka chili w zalewie octowej,3.9,6.1,0.9
Pomidory krojone,1,3.1,0.5
Rzodkiew kiszona z majerankiem,0.7,1.8,0.5
Daikon radish,1,1.9,0.5
Bukiet warzyw kwiatowy,1.9,3.1,0.5
Szpinak młody,2.9,3.6,0.5
Roszponka,2,3.6,0.5
papryczki pikantne nadziewane serem,5.4,3.7,10
Groszek,3.94,6.46,0.24
Pomidory całe,0.7,2.9,0.2
Brokuły różyczki,1.8,1.8,0.5
Szpinak myty,3.1,1.8,0.5
szpinak mrożony,2.3,0.4,0.5
Mix sałat z roszponką,1.5,1.3,0.5
Szpinak liście,2.3,0.4,0.5
Szpinak rozdrobniony porcjowany,1.5,0.5,0.2
gegrillte Paprika,1,6.9,0.5
Rucola,3.8,0.8,0.5
Groszek zielony,6.4,16.3,0.4
Guisantes finos,6,11.3,0.4
Szpinak,2.6,3,0.4
"Szpinak w liściach, porcjowany",3.2,1.1,0.3
Papryka zielona chilli,1.9,6.7,1.1
Papryka smażona bez skórki,0.6,3.2,2.5
Firmowa z czerwonej kapusty z jabłkiem,1,10,6.9
Mieszanka Azjatycka,1.4,3.8,0.5
Piratki Filet z Kurczaka,22,1.7,1
Kabanosy wieprzowe,26,5.2,42
Berlinki Classic,13,2.8,18
Sausages,13,4.3,19
Berlinki classic,13,2.8,18
Szynka wieprzowa,18.9,0.8,3.2
Boczek wędzony wieprzowy,14,1.4,30
Berlinki z kurcząt,16,2.2,13
