Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
Kiwi Sungold,0.9,11.1,0.3
Dattes séchées dénoyautées,2.5,67,0.5
Pommes Rouges,0.8,11.6,0.6
blueberries,0.9,9.1,0.2
Berry mix with sour cherries,0.9,7.1,0.2
Serek homogenizowany truskawkowy,6.3,12,6.3
Ananas en tranches au jus,0.4,14.9,0.1
Borówka amerykańska odmiany Brightwell,1,15,0.3
Framboises entières,1.6,6.1,0.2
Pomme,0.5,9.6,0.5
Dates,2.5,67,0.5
Daktyle suszone,2.5,67,0.4
Pomegranate Seeds in Pomegranate Juice,0.8,15.9,0.3
Jagody leśne,0.7,10.7,0.9
Świeże daktyle medjool BIO,2,71,0.3
Fresh dates,2,71.4,0.2
Cytryna,2.6,11,4.1
Truskawki,0.7,5.4,0.4
"Mandarinky, celé měsíčky, loupané, kompot",0.5,15,0.5
Ananasy w plastrach,1.2,16.4,0.1
Mandarynki. odmiany: Ortanique.,0.7,10,0.2
Dried plums,1.2,26.9,0.5
Kaki,2.2,63,1.9
Ananas plastry w soku,0.5,13,0.5
Ananas,0.9,14,0.2
Raspberry fruit strips,1.4,78.8,0.9
Ananas plastry,0.5,15,0.5
Truskawki Liofilizowane,8.2,30.1,1.9
Świeże daktyle,2,71.9,0.2
Ananas Kawałki,0.5,15,0.5
Ekologiczne wiórki kokosowe,6.9,7.4,65
Maliny mrożone,1.3,5.3,0.5
Kiwi gold,1,15.8,0.3
Czarna Porzeczka,1.3,7,0.5
Mangues en morceau,0.6,14,0.5
Borówka,0.8,11.8,0.2
Sun-dried Tomatoes,7,20,0.7
Jalapeños,0.6,1.6,0.1
Grean peas,5,7.4,0.7
Rodekool Chou rouge,1.4,11,0.2
Pelati Geschälte Tomaten,1.1,4.2,0.2
Groszek tradycyjny,5.5,7.4,0.7
Croustis de légumes Brocolis,4.7,14,9.1
"Pulpe de tomates, basilic & origan",1.6,5.7,0.3
Dattelcherrytomaten,0.9,1.9,0.5
Cacahuètes Grillées et Salées,25,18,50
Włoszczyzna,10.3,74.2,0.9
Pomidore krojone bez skórki w sosie pomidorowym.,0.7,2.9,0.2
Buraczki zasmażane z cebulką,1,13,2
Groszek konserwowy,4.2,7.4,0.5
Nasza Spiżarnia Korniszony z chilli,1.3,1.5,0.5
Vegetable samosas,8.9,26.1,0.6
Pomidory całe,1.1,3.1,0.5
Ogórki ćwiartki,0.5,9.5,0.5
Rukola umyta i gotowa do spożycia,2.6,3.9,0.3
Haricots Verts Très Fins,1.9,3.8,0.5
Salad mix with iceberg lettuce,1,2.2,0.5
polpa di pomodoro con basilico,1.1,5.4,0.2
Spinach Leaves,3.4,2,0.6
Bio rukola,2.9,0.5,0.5
Groszek konserwowy green peas,5.4,8.8,0.8
"Fasolka szparagowa żółta i zielona, cała",1.9,3.1,0.5
CHOUX-FLEURS En fleurette,2.9,2.1,0.9
Brocolis bouquet,3,2.4,0.4
Carottes râpées,1,11,4
buraczki Już Gotowe talarki,1.8,9.5,0.1
Kimchi Hot,1.8,8,0.4
Rzodkiew kiszona,0.7,1.8,0.1
Warzywa na patelnię z ziemniakami,1.9,9.4,1.3
Papryka Jalapeño,0.5,2.4,0.5
Warzywa na patelnię letnie,2,4.3,5.4
Warzywa na patelnię po włosku,1.8,4.4,0.5
Jackfruit kawałki,0.8,0.5,0.6
Szpinak liście,2.8,0.6,0.5
Kalafior różyczki,1.7,2.7,0.2
Groszek zielony konserwowy,5.5,8.3,0.8
Mix sałat Party,1.3,1.7,0.5
Papryka grillowana w zalewie z czosnkiem,1.2,5.2,0.4
papryczki pikantne nadziewane serem,5.4,3.7,10
Stir-fry vegetables with oriental seasoning,2.1,4.4,0.5
Szparagi białe,0.8,1.5,0.1
Buraczki Kons. ca?e Rolnik 370ML,0.9,10,0.5
Bio superfood buraki,1.8,9.8,0.1
Pomidory krojone bez skórki,1.2,3,0.5
Mieszanka chińska,1.2,4.9,0.2
Zupa jarzynowa,3.2,3.7,0.3
Marchewka gotowana,0.8,6.9,0.4
Zupa kalafiorowa,1.9,5.6,0.5
Mix mražené zeleniny,2.5,9.6,1.5
Papryka konserwowa,0.6,6.4,0.5
Daikon radish,1,1.9,0.5
Junge Erbsen,5.5,9.1,0.8
Rzodkiew kiszona z majerankiem,0.7,1.8,0.5
Pomidory Krojone w soku pomidorowym z oliwą z oliwek i czosnkiem,1.3,5.9,2.1
Groszek zielony,6.4,7.8,0.9
Groszek,3.9,6.5,0.2
Brokuły różyczki,1.8,1.8,0.5
Roszponka,2,3.6,0.5
Carciofi,1.2,2.7,0.5
Czerwona papryka chili w zalewie octowej,3.9,6.1,0.9
Mieszanka wiosenna,2.8,8.9,0.5
Pomidory krojone w soku pomidorowym - klasyczne,1.4,4.4,0.2
Szpinak rozdrobniony porcjowany,2.9,0.9,0.5
Buraczki plastry,1.6,7.9,0.1
Pomidory Krojone w Soku Pomidorowym,1.4,4.1,0.5
Groch gotowany,8.3,21.1,0.4
Warzywa na patelnię po azjatycku,1.2,4.6,2
Polpa di pomodoro,1.1,5.2,0.3
Zupa kalafiorowa z koperkiem,1.9,5.4,0.2
Szpinak Rozdrobniony W Porcjach,2.3,0.4,0.4
Mieszanka Warzyw Z Chilli,1.5,6.8,0.5
Warzywa na patelnię po europejsku,2.7,8.8,2.7
Kalafior kiszony z kurkumą,0.4,2.9,0.1
Mix Sałat z Rukolą,1.4,1.4,0.5
gegrillte Paprika,1,6.9,0.5
Szpinak,2.6,3,0.4
Chopped spinach,2.3,0.4,0.4
7 - Vegetables Mix,2.2,4.2,0.3
Guisantes finos,6,11.3,0.4
Rucola,3.8,0.8,0.5
Mieszanka Azjatycka,1.4,3.8,0.5
Firmowa z czerwonej kapusty z jabłkiem,1,10,6.9
"Szpinak w liściach, porcjowany",3.2,1.1,0.3
Papryka smażona bez skórki,0.6,3.2,2.5
Papryka zielona chilli,1.9,6.7,1.1
Frozen spinach,2.8,0.6,0.5
Piratki Filet z Kurczaka,22,1.7,1
Berlinki Classic,13,2.8,18
Kabanosy wieprzowe,26,5.2,42
Sausages,13,4.3,19
Szynka wieprzowa,18.9,0.8,3.2
Boczek wędzony wieprzowy,14,1.4,30
Berlinki z kurcząt,16,2.2,13
Naturalne Parówki 100% z szynki,14,1.3,25
Parówki z szynki,14,1.3,24
Mini Saucissons Secs,29,3.5,38
Schab Wędzony na wiśniowo,18,2,2.4
Pasztet drobiowy,7.5,5.5,12
Szynka eksportowa,19,2,1.6
Parówki,14,1.3,24
Z Serem,14,2.8,21
Ham Frankfurters,14,3.5,22
Podlaski pasztet drobiowy,7,4,15
Chicken Pâté,8.5,5.2,17
Пастет с печено свинско месо,10.4,2.8,24
Szynka konserwowa z galaretką,17,0.5,4.9
Boczek,13,1,28
Kiełbasa z weka,13,1,24
